Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009733~response to auxin	13	6.989247311827956	2.3366400721415766E-7	AT1G17345, AT5G18020, AT2G21210, AT5G18030, AT4G34760, AT1G29490, AT3G03850, AT4G38840, AT5G54490, AT5G18060, AT1G29420, AT2G18010, AT2G16580	115	290	18499	7.211004497751125	4.7432674049496804E-5	4.7432674049496804E-5	2.9358716074900926E-4
GOTERM_BP_DIRECT	GO:0009734~auxin-activated signaling pathway	8	4.301075268817205	1.7599848353593782E-4	AT5G18020, AT5G18030, AT1G29490, AT5G18060, AT3G13980, AT1G29420, AT5G03280, AT4G37580	115	190	18499	6.773089244851258	0.03510002564776449	0.0177067778141623	0.2209087062407522
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	9	4.838709677419355	0.002609094827285364	AT5G18020, AT5G03740, AT5G18030, AT1G29490, AT3G28455, AT5G18060, AT1G29420, AT2G28550, AT4G16750	115	384	18499	3.770176630434783	0.41159418217797983	0.16203543750940297	3.2291969494936845
GOTERM_BP_DIRECT	GO:0071555~cell wall organization	8	4.301075268817205	0.00332427076919153	AT2G18950, AT5G67230, AT1G24170, AT2G43870, AT1G77130, AT4G19970, AT3G09410, AT4G39350	115	314	18499	4.098366103572418	0.4913276139143661	0.15548077494747758	4.09743302659632
GOTERM_BP_DIRECT	GO:0009873~ethylene-activated signaling pathway	6	3.225806451612903	0.005039019690761331	AT1G25560, AT5G13910, AT5G03280, AT1G68840, AT2G28550, AT4G16750	115	179	18499	5.391984454700024	0.6413853794715381	0.18543527608702237	6.1500454998423715
GOTERM_BP_DIRECT	GO:0009789~positive regulation of abscisic acid-activated signaling pathway	3	1.6129032258064515	0.018572541847287447	AT3G55530, AT5G03280, AT1G15100	115	34	18499	14.193606138107416	0.9777558664158708	0.4696825524222783	20.986324494260533
GOTERM_BP_DIRECT	GO:0040008~regulation of growth	4	2.1505376344086025	0.024555795825077182	AT5G18020, AT5G18030, AT5G18060, AT4G37580	115	101	18499	6.3707275075333625	0.9935717342870772	0.51373776071251	26.82987911388167
GOTERM_BP_DIRECT	GO:0009651~response to salt stress	8	4.301075268817205	0.030231305670890454	AT3G09260, AT3G16470, AT5G03740, AT3G55530, AT5G03280, AT3G50310, AT5G02410, AT1G15100	115	484	18499	2.6588573481854114	0.9980337599444339	0.5411142543895209	32.002669531766415
GOTERM_BP_DIRECT	GO:0009826~unidimensional cell growth	4	2.1505376344086025	0.033470752835432174	AT2G05520, AT2G03090, AT3G29030, AT4G37580	115	114	18499	5.644241037376049	0.9990031149963227	0.5360019898443518	34.80209985088051
GOTERM_BP_DIRECT	GO:0009926~auxin polar transport	3	1.6129032258064515	0.046726922952480494	AT1G29490, AT1G29420, AT5G03280	115	56	18499	8.617546583850931	0.9999395887952313	0.6214600244952417	45.18798817994883
GOTERM_BP_DIRECT	GO:0010044~response to aluminum ion	2	1.0752688172043012	0.05995798410282456	AT1G08430, AT2G05520	115	10	18499	32.17217391304348	0.9999964608837599	0.6805190374172103	54.01583173941209
GOTERM_BP_DIRECT	GO:0046620~regulation of organ growth	2	1.0752688172043012	0.0715148330796685	AT1G29490, AT1G29420	115	12	18499	26.810144927536232	0.999999712711054	0.7149901236921294	60.635201029443195
GOTERM_BP_DIRECT	GO:0009835~fruit ripening	2	1.0752688172043012	0.07724033256178837	AT1G01480, AT4G26200	115	13	18499	24.747826086956522	0.99999991815605	0.7149998283305208	63.57872523766525
GOTERM_BP_DIRECT	GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process	4	2.1505376344086025	0.09628538701236837	AT5G51450, AT3G27220, AT3G55530, AT1G15100	115	177	18499	3.6352738884794893	0.999999998813262	0.7696151481329587	71.97442396261727
